Timestamp,Is holiday,Real temperature,Feels like temperature,Humidity,Speed of wind,PM25 pollution,Atmospheric CO2,Weather type,No. of shared scooter rides
2015-11-29 7:00:00,0,11.0°C,11.0°C,77.00%,24.0 km/h,8.23 μg/m3,403.69ppm,Broken clouds,123
2015-11-29 8:00:00,0,11.5°C,11.5°C,79.50%,28.0 km/h,5.86 μg/m3,405.59ppm,Rain,248
2015-11-29 9:00:00,0,12.0°C,12.0°C,72.00%,36.0 km/h,7.89 μg/m3,407.1ppm,Broken clouds,448
2015-11-29 10:00:00,0,,13.0°C,63.00%,39.0 km/h,6.89 μg/m3,404.79ppm,Cloudy,818
2015-11-29 11:00:00,0,13.0°C,13.0°C,65.00%,42.5 km/h,9.6 μg/m3,403.14ppm,Broken clouds,1047
2015-11-29 12:00:00,0,12.0°C,12.0°C,77.00%,35.0 km/h,5.75 μg/m3,404.44ppm,Rain,868
2015-11-29 13:00:00,0,13.5°C,13.5°C,65.00%,43.0 km/h,5.95 μg/m3,403.34ppm,Broken clouds,1029
2015-11-29 14:00:00,0,,14.0°C,65.00%,45.0 km/h,6.27 μg/m3,403.25ppm,Broken clouds,1091
2015-11-29 15:00:00,0,,14.0°C,67.00%,46.0 km/h,8.54 μg/m3,404.12ppm,Broken clouds,1046
2015-11-29 16:00:00,0,14.0°C,14.0°C,67.00%,47.0 km/h,8.29 μg/m3,402.43ppm,Broken clouds,885
2015-11-29 17:00:00,0,,,77.00%,39.0 km/h,7.53 μg/m3,402.72ppm,Rain,664
2015-11-29 18:00:00,0,13.0°C,13.0°C,77.00%,39.0 km/h,8.94 μg/m3,406.22ppm,Rain,417
2015-11-29 19:00:00,0,12.0°C,12.0°C,88.00%,33.0 km/h,4.58 μg/m3,405.15ppm,Rain,246
2015-11-29 20:00:00,0,12.5°C,12.5°C,79.50%,34.0 km/h,7.61 μg/m3,405.48ppm,Rain,201
2015-11-29 21:00:00,0,11.5°C,11.5°C,74.50%,30.5 km/h,7.95 μg/m3,406.3ppm,Scattered clouds,241
2015-11-29 22:00:00,0,11.0°C,11.0°C,69.50%,34.0 km/h,8.24 μg/m3,401.2ppm,Scattered clouds,246
2015-11-29 23:00:00,0,11.0°C,11.0°C,67.00%,33.0 km/h,8.07 μg/m3,404.23ppm,Scattered clouds,179
2015-11-30 0:00:00,0,11.0°C,11.0°C,64.50%,,8.35 μg/m3,407.86ppm,Broken clouds,161
2015-11-30 1:00:00,0,,7.5°C,69.00%,21.5 km/h,8.65 μg/m3,408.25ppm,Cloudy,72
2015-11-30 2:00:00,0,10.0°C,8.0°C,69.00%,11.0 km/h,10.9 μg/m3,403.48ppm,Cloudy,58
2015-11-30 3:00:00,0,10.0°C,8.0°C,71.00%,13.0 km/h,9.05 μg/m3,403.08ppm,Cloudy,22
2015-11-30 4:00:00,0,,8.0°C,76.00%,16.0 km/h,5.72 μg/m3,400.74ppm,Rain,29
2015-11-30 5:00:00,0,9.0°C,8.0°C,84.50%,6.5 km/h,9.24 μg/m3,404.0ppm,Rain,76
2015-11-30 6:00:00,0,9.5°C,7.5°C,94.00%,14.0 km/h,7.75 μg/m3,405.98ppm,Rain,432
2015-11-30 7:00:00,0,11.5°C,,85.00%,,7.12 μg/m3,406.62ppm,Broken clouds,1679
2015-11-30 8:00:00,0,12.0°C,12.0°C,79.50%,29.5 km/h,5.81 μg/m3,402.21ppm,Broken clouds,3650
2015-11-30 9:00:00,0,13.0°C,13.0°C,74.50%,29.5 km/h,7.54 μg/m3,404.43ppm,Broken clouds,1825
2015-11-30 10:00:00,0,13.0°C,13.0°C,69.50%,30.5 km/h,8.28 μg/m3,403.76ppm,Broken clouds,740
2015-11-30 11:00:00,0,13.5°C,13.5°C,65.00%,35.0 km/h,9.1 μg/m3,402.66ppm,Broken clouds,726
2015-11-30 12:00:00,0,13.5°C,13.5°C,69.50%,34.0 km/h,6.33 μg/m3,403.59ppm,Broken clouds,861
2015-11-30 13:00:00,0,14.0°C,14.0°C,67.00%,38.0 km/h,7.35 μg/m3,406.49ppm,Broken clouds,780
2015-11-30 14:00:00,0,13.5°C,13.5°C,72.00%,38.0 km/h,7.24 μg/m3,405.77ppm,Broken clouds,777
2015-11-30 15:00:00,0,13.0°C,,77.00%,37.0 km/h,7.12 μg/m3,405.52ppm,Broken clouds,853
2015-11-30 16:00:00,0,13.5°C,13.5°C,79.50%,36.0 km/h,5.7 μg/m3,407.48ppm,Rain,1072
2015-11-30 17:00:00,0,,13.0°C,85.00%,35.0 km/h,6.39 μg/m3,404.58ppm,Rain,2161
2015-11-30 18:00:00,0,13.0°C,13.0°C,,33.0 km/h,7.53 μg/m3,404.52ppm,Broken clouds,2461
2015-11-30 19:00:00,0,14.0°C,14.0°C,79.50%,32.0 km/h,8.92 μg/m3,405.67ppm,Rain,1406
2015-11-30 21:00:00,0,13.0°C,13.0°C,88.00%,27.0 km/h,7.63 μg/m3,402.8ppm,Rain,518
2015-11-30 22:00:00,0,13.0°C,13.0°C,88.00%,25.0 km/h,6.19 μg/m3,406.47ppm,Rain,329
2015-11-30 23:00:00,0,10.5°C,9.5°C,94.00%,,7.59 μg/m3,406.03ppm,Rain,230
2015-12-01 0:00:00,0,10.0°C,9.0°C,94.00%,7.0 km/h,6.12 μg/m3,405.55ppm,Rain,88
2015-12-01 1:00:00,0,10.0°C,10.0°C,94.00%,5.0 km/h,9.1 μg/m3,403.4ppm,Rain,40
2015-12-01 2:00:00,0,9.5°C,9.0°C,97.00%,5.0 km/h,10.23 μg/m3,406.17ppm,Rain,34
2015-12-01 3:00:00,0,10.0°C,,,6.0 km/h,8.12 μg/m3,408.24ppm,Rain,22
2015-12-01 4:00:00,0,10.0°C,10.0°C,94.00%,6.0 km/h,8.99 μg/m3,405.87ppm,Rain,24
2015-12-01 5:00:00,0,11.5°C,11.5°C,97.00%,10.5 km/h,6.91 μg/m3,403.69ppm,Rain,114
2015-12-01 6:00:00,0,13.5°C,13.5°C,88.00%,23.0 km/h,8.32 μg/m3,408.36ppm,Broken clouds,582
2015-12-01 7:00:00,0,14.0°C,14.0°C,82.00%,23.0 km/h,7.89 μg/m3,405.7ppm,Broken clouds,1915
2015-12-01 8:00:00,0,14.0°C,14.0°C,79.50%,27.0 km/h,9.43 μg/m3,408.28ppm,Broken clouds,4185
2015-12-01 9:00:00,0,14.0°C,14.0°C,79.50%,26.0 km/h,7.04 μg/m3,402.89ppm,Rain,1919
2015-12-01 10:00:00,0,14.0°C,14.0°C,,29.0 km/h,7.8 μg/m3,403.47ppm,Broken clouds,827
2015-12-01 11:00:00,0,14.0°C,,72.00%,33.0 km/h,6.27 μg/m3,406.42ppm,Broken clouds,763
2015-12-01 12:00:00,0,15.0°C,,68.00%,27.0 km/h,8.88 μg/m3,399.56ppm,Scattered clouds,976
2015-12-01 13:00:00,0,14.5°C,14.5°C,67.50%,29.5 km/h,6.96 μg/m3,408.63ppm,Scattered clouds,1101
2015-12-01 14:00:00,0,,15.0°C,63.00%,25.0 km/h,7.44 μg/m3,407.41ppm,Broken clouds,909
2015-12-01 15:00:00,0,14.5°C,,65.00%,25.0 km/h,6.57 μg/m3,403.48ppm,Broken clouds,1044
2015-12-01 16:00:00,0,14.5°C,14.5°C,65.00%,20.5 km/h,7.62 μg/m3,407.31ppm,Broken clouds,1468
2015-12-01 17:00:00,0,14.0°C,14.0°C,63.00%,22.0 km/h,8.98 μg/m3,404.98ppm,Broken clouds,2986
2015-12-01 18:00:00,0,14.0°C,14.0°C,57.00%,23.0 km/h,8.44 μg/m3,404.4ppm,Broken clouds,3073
2015-12-01 19:00:00,0,14.0°C,14.0°C,55.00%,27.0 km/h,9.82 μg/m3,402.93ppm,Broken clouds,1720
2015-12-01 20:00:00,0,13.5°C,13.5°C,55.00%,25.0 km/h,6.92 μg/m3,406.93ppm,Broken clouds,1067
2015-12-01 21:00:00,0,13.5°C,13.5°C,55.00%,20.5 km/h,7.92 μg/m3,406.26ppm,Cloudy,748
2015-12-01 22:00:00,0,13.0°C,13.0°C,61.00%,,9.63 μg/m3,405.44ppm,Cloudy,601
2015-12-01 23:00:00,0,13.0°C,13.0°C,61.00%,21.0 km/h,6.5 μg/m3,402.59ppm,Cloudy,353
2015-12-02 0:00:00,0,13.0°C,13.0°C,59.00%,19.0 km/h,9.71 μg/m3,405.92ppm,Cloudy,195
2015-12-02 1:00:00,0,,13.0°C,,18.5 km/h,10.2 μg/m3,406.87ppm,Cloudy,128
2015-12-02 2:00:00,0,13.0°C,13.0°C,67.00%,17.0 km/h,6.26 μg/m3,408.4ppm,Cloudy,70
2015-12-02 3:00:00,0,13.0°C,13.0°C,,22.5 km/h,11.57 μg/m3,404.62ppm,Cloudy,44
2015-12-02 4:00:00,0,13.0°C,13.0°C,65.00%,21.5 km/h,7.51 μg/m3,403.87ppm,Cloudy,54
2015-12-02 5:00:00,0,,13.0°C,65.00%,21.5 km/h,5.39 μg/m3,402.81ppm,Cloudy,107
2015-12-02 6:00:00,0,13.0°C,13.0°C,67.00%,20.0 km/h,6.27 μg/m3,405.12ppm,Scattered clouds,616
2015-12-02 7:00:00,0,13.0°C,13.0°C,67.00%,,7.69 μg/m3,406.61ppm,Clear,2111
2015-12-02 8:00:00,0,13.0°C,13.0°C,72.00%,21.5 km/h,7.31 μg/m3,408.85ppm,Broken clouds,4323
2015-12-02 9:00:00,0,12.5°C,12.5°C,74.50%,,6.74 μg/m3,405.94ppm,Broken clouds,2192
2015-12-02 10:00:00,0,13.0°C,13.0°C,74.50%,20.0 km/h,6.06 μg/m3,407.61ppm,Clear,993
2015-12-02 11:00:00,0,13.0°C,13.0°C,77.00%,,5.81 μg/m3,405.24ppm,Scattered clouds,870
2015-12-02 12:00:00,0,13.0°C,13.0°C,77.00%,23.0 km/h,10.4 μg/m3,406.38ppm,Scattered clouds,1097
2015-12-02 13:00:00,0,13.5°C,13.5°C,74.50%,19.0 km/h,8.46 μg/m3,403.87ppm,Scattered clouds,1085
2015-12-02 14:00:00,0,13.5°C,,74.50%,,9.43 μg/m3,405.5ppm,Broken clouds,1040
2015-12-02 15:00:00,0,13.0°C,13.0°C,77.00%,22.0 km/h,6.52 μg/m3,402.94ppm,Scattered clouds,1092
2015-12-02 16:00:00,0,13.0°C,13.0°C,77.00%,21.0 km/h,7.33 μg/m3,407.14ppm,Scattered clouds,1442
2015-12-02 17:00:00,0,13.0°C,13.0°C,77.00%,19.5 km/h,6.4 μg/m3,409.21ppm,Clear,2802
2015-12-02 18:00:00,0,13.0°C,13.0°C,77.00%,18.5 km/h,7.18 μg/m3,405.3ppm,Clear,2914
2015-12-02 19:00:00,0,13.0°C,,77.00%,20.0 km/h,9.53 μg/m3,404.11ppm,Scattered clouds,1732
2015-12-02 20:00:00,0,13.0°C,13.0°C,77.00%,21.0 km/h,7.28 μg/m3,412.74ppm,Scattered clouds,1010
2015-12-02 21:00:00,0,13.0°C,13.0°C,77.00%,,7.78 μg/m3,407.3ppm,Scattered clouds,736
2015-12-02 22:00:00,0,13.0°C,13.0°C,77.00%,23.0 km/h,6.93 μg/m3,408.01ppm,Scattered clouds,664
2015-12-02 23:00:00,0,13.0°C,13.0°C,79.50%,22.0 km/h,9.09 μg/m3,405.79ppm,Cloudy,472
2015-12-03 0:00:00,0,13.0°C,13.0°C,82.00%,24.0 km/h,7.09 μg/m3,402.95ppm,Clear,129
2015-12-03 1:00:00,0,13.0°C,13.0°C,79.50%,21.0 km/h,9.84 μg/m3,404.58ppm,Clear,52
2015-12-03 2:00:00,0,,13.0°C,77.00%,20.0 km/h,7.42 μg/m3,405.17ppm,Clear,115
2015-12-03 3:00:00,0,13.0°C,13.0°C,77.00%,20.5 km/h,11.63 μg/m3,404.93ppm,Clear,55
2015-12-03 4:00:00,0,13.0°C,,77.00%,17.0 km/h,9.8 μg/m3,402.81ppm,Cloudy,46
2015-12-03 5:00:00,0,13.0°C,13.0°C,77.00%,18.0 km/h,7.92 μg/m3,404.95ppm,Cloudy,120
2015-12-03 6:00:00,0,13.0°C,13.0°C,77.00%,15.0 km/h,8.1 μg/m3,402.69ppm,Scattered clouds,607
2015-12-03 7:00:00,0,13.0°C,13.0°C,77.00%,14.0 km/h,10.06 μg/m3,402.32ppm,Scattered clouds,2005
2015-12-03 8:00:00,0,13.0°C,13.0°C,77.00%,15.0 km/h,8.49 μg/m3,403.43ppm,Scattered clouds,4369
2015-12-03 9:00:00,0,13.0°C,13.0°C,77.00%,19.5 km/h,8.9 μg/m3,404.41ppm,Scattered clouds,2266
2015-12-03 10:00:00,0,13.0°C,,77.00%,19.0 km/h,11.17 μg/m3,404.54ppm,Scattered clouds,1024
2015-12-03 11:00:00,0,13.0°C,13.0°C,77.00%,18.0 km/h,8.31 μg/m3,404.72ppm,Scattered clouds,861
2015-12-03 12:00:00,0,13.0°C,13.0°C,77.00%,19.0 km/h,4.85 μg/m3,408.59ppm,Scattered clouds,1105
2015-12-03 13:00:00,0,13.0°C,13.0°C,77.00%,19.0 km/h,8.26 μg/m3,404.72ppm,Scattered clouds,1144
2015-12-03 14:00:00,0,13.0°C,13.0°C,74.50%,19.5 km/h,9.76 μg/m3,401.28ppm,Scattered clouds,972
2015-12-03 15:00:00,0,13.0°C,13.0°C,72.00%,19.0 km/h,8.47 μg/m3,404.27ppm,Scattered clouds,1171
2015-12-03 16:00:00,0,13.0°C,13.0°C,72.00%,18.5 km/h,6.26 μg/m3,404.43ppm,Scattered clouds,1422
2015-12-03 17:00:00,0,,13.0°C,69.50%,21.0 km/h,7.87 μg/m3,400.39ppm,Clear,2758
2015-12-03 18:00:00,0,,13.0°C,69.50%,22.0 km/h,10.23 μg/m3,404.88ppm,Clear,2620
2015-12-03 19:00:00,0,12.5°C,12.5°C,74.50%,27.0 km/h,5.87 μg/m3,403.78ppm,Rain,1131
2015-12-03 20:00:00,0,12.0°C,,79.50%,28.5 km/h,5.42 μg/m3,404.69ppm,Rain,641
2015-12-03 21:00:00,0,12.5°C,12.5°C,79.50%,32.0 km/h,6.74 μg/m3,405.3ppm,Rain,544
2015-12-03 22:00:00,0,,12.5°C,85.00%,30.5 km/h,9.72 μg/m3,404.56ppm,Rain,443
2015-12-03 23:00:00,0,13.5°C,13.5°C,85.00%,30.0 km/h,4.93 μg/m3,404.59ppm,Rain,299
2015-12-04 0:00:00,0,11.5°C,11.5°C,88.00%,32.5 km/h,8.18 μg/m3,403.78ppm,Rain,184
2015-12-04 1:00:00,0,11.5°C,11.5°C,69.50%,32.0 km/h,8.74 μg/m3,405.94ppm,Rain,178
2015-12-04 2:00:00,0,10.0°C,,67.00%,21.5 km/h,8.0 μg/m3,404.0ppm,Broken clouds,114
2015-12-04 3:00:00,0,10.0°C,7.5°C,67.00%,20.5 km/h,5.78 μg/m3,406.08ppm,Broken clouds,72
2015-12-04 4:00:00,0,9.0°C,6.0°C,71.00%,23.0 km/h,8.2 μg/m3,402.61ppm,Clear,55
2015-12-04 5:00:00,0,8.0°C,5.0°C,73.50%,20.0 km/h,6.36 μg/m3,403.96ppm,Clear,92
2015-12-04 6:00:00,0,8.0°C,,71.00%,22.5 km/h,8.22 μg/m3,405.77ppm,Clear,485
2015-12-04 7:00:00,0,8.0°C,4.5°C,71.00%,21.5 km/h,6.66 μg/m3,402.56ppm,Clear,1668
2015-12-04 8:00:00,0,8.0°C,5.0°C,76.00%,20.0 km/h,8.5 μg/m3,403.69ppm,Clear,3739
2015-12-04 9:00:00,0,9.5°C,6.5°C,71.00%,21.5 km/h,7.93 μg/m3,405.91ppm,Scattered clouds,2151
2015-12-04 10:00:00,0,10.5°C,9.0°C,71.50%,23.0 km/h,6.1 μg/m3,403.29ppm,Scattered clouds,1065
2015-12-04 11:00:00,0,11.5°C,11.5°C,69.50%,23.0 km/h,8.83 μg/m3,407.22ppm,Scattered clouds,1004
2015-12-04 12:00:00,0,12.5°C,12.5°C,65.00%,25.0 km/h,7.78 μg/m3,404.85ppm,Scattered clouds,1297
2015-12-04 13:00:00,0,13.0°C,13.0°C,63.00%,26.0 km/h,8.48 μg/m3,404.21ppm,Scattered clouds,1329
2015-12-04 14:00:00,0,13.0°C,13.0°C,63.00%,24.0 km/h,8.29 μg/m3,405.99ppm,Broken clouds,1157
2015-12-04 15:00:00,0,13.0°C,13.0°C,63.00%,27.0 km/h,9.5 μg/m3,404.96ppm,Broken clouds,1297
2015-12-04 16:00:00,0,13.0°C,13.0°C,65.00%,26.0 km/h,8.86 μg/m3,404.9ppm,Broken clouds,1557
2015-12-04 17:00:00,0,,12.0°C,74.50%,26.0 km/h,8.61 μg/m3,404.45ppm,Cloudy,2619
2015-12-04 18:00:00,0,12.0°C,12.0°C,74.50%,25.0 km/h,5.15 μg/m3,404.53ppm,Broken clouds,2148
2015-12-04 19:00:00,0,,,69.50%,27.0 km/h,7.34 μg/m3,402.73ppm,Scattered clouds,1327
2015-12-04 20:00:00,0,12.0°C,12.0°C,74.50%,24.0 km/h,4.04 μg/m3,406.12ppm,Scattered clouds,791
2015-12-04 21:00:00,0,12.5°C,12.5°C,69.50%,27.0 km/h,5.75 μg/m3,403.63ppm,Broken clouds,603
2015-12-04 22:00:00,0,12.0°C,12.0°C,72.00%,28.5 km/h,9.57 μg/m3,406.8ppm,Scattered clouds,567
2015-12-04 23:00:00,0,12.0°C,12.0°C,67.00%,35.0 km/h,7.12 μg/m3,402.96ppm,Scattered clouds,457
2015-12-05 0:00:00,0,13.0°C,13.0°C,63.00%,34.0 km/h,9.53 μg/m3,407.17ppm,Scattered clouds,495
2015-12-05 1:00:00,0,12.0°C,,67.00%,36.0 km/h,6.63 μg/m3,403.3ppm,Scattered clouds,403
2015-12-05 2:00:00,0,12.0°C,12.0°C,,38.0 km/h,7.61 μg/m3,406.3ppm,Clear,296
2015-12-05 3:00:00,0,12.0°C,12.0°C,69.50%,35.0 km/h,8.04 μg/m3,404.01ppm,Clear,169
2015-12-05 4:00:00,0,,,69.50%,,10.13 μg/m3,405.19ppm,Clear,159
2015-12-05 5:00:00,0,12.0°C,12.0°C,72.00%,31.5 km/h,9.32 μg/m3,403.65ppm,Scattered clouds,80
2015-12-05 6:00:00,0,12.0°C,12.0°C,72.00%,30.5 km/h,7.07 μg/m3,403.26ppm,Clear,108
2015-12-05 7:00:00,0,12.0°C,12.0°C,67.00%,34.0 km/h,7.08 μg/m3,404.11ppm,Scattered clouds,199
2015-12-05 8:00:00,0,12.0°C,12.0°C,67.00%,34.5 km/h,8.1 μg/m3,406.11ppm,Scattered clouds,408
2015-12-05 9:00:00,0,12.5°C,12.5°C,65.00%,39.0 km/h,11.41 μg/m3,406.11ppm,Scattered clouds,695
2015-12-05 10:00:00,0,13.0°C,,65.00%,39.0 km/h,7.95 μg/m3,405.9ppm,Scattered clouds,995
2015-12-05 11:00:00,0,13.0°C,13.0°C,63.00%,39.5 km/h,6.61 μg/m3,405.3ppm,Broken clouds,1135
2015-12-05 12:00:00,0,13.0°C,13.0°C,63.00%,36.0 km/h,6.68 μg/m3,408.95ppm,Cloudy,1480
2015-12-05 13:00:00,0,13.0°C,13.0°C,65.00%,32.0 km/h,7.57 μg/m3,403.2ppm,Broken clouds,1407
2015-12-05 14:00:00,0,13.0°C,13.0°C,67.00%,,8.33 μg/m3,404.59ppm,Cloudy,1262
2015-12-05 15:00:00,0,,13.0°C,67.00%,34.0 km/h,6.49 μg/m3,399.93ppm,Cloudy,1325
2015-12-05 16:00:00,0,12.5°C,12.5°C,69.50%,38.0 km/h,9.27 μg/m3,405.66ppm,Broken clouds,1129
2015-12-05 17:00:00,0,13.0°C,13.0°C,65.00%,40.0 km/h,6.87 μg/m3,403.07ppm,Cloudy,990
2015-12-05 18:00:00,0,13.5°C,,65.00%,37.0 km/h,9.8 μg/m3,404.75ppm,Broken clouds,960
2015-12-05 19:00:00,0,13.0°C,13.0°C,69.50%,,8.24 μg/m3,403.38ppm,Cloudy,853
2015-12-05 20:00:00,0,13.0°C,13.0°C,63.00%,45.0 km/h,7.35 μg/m3,404.51ppm,Scattered clouds,595
2015-12-05 21:00:00,0,13.0°C,13.0°C,63.00%,42.5 km/h,3.63 μg/m3,405.12ppm,Broken clouds,435
2015-12-05 22:00:00,0,13.0°C,13.0°C,61.00%,41.5 km/h,7.32 μg/m3,403.43ppm,Broken clouds,482
2015-12-05 23:00:00,0,13.0°C,13.0°C,63.00%,38.0 km/h,7.88 μg/m3,405.46ppm,Cloudy,451
2015-12-06 0:00:00,0,13.0°C,13.0°C,65.00%,35.0 km/h,7.95 μg/m3,403.99ppm,Cloudy,446
2015-12-06 1:00:00,0,13.0°C,13.0°C,67.00%,34.0 km/h,8.76 μg/m3,403.54ppm,Cloudy,418
2015-12-06 2:00:00,0,13.0°C,13.0°C,69.50%,31.5 km/h,7.3 μg/m3,406.12ppm,Broken clouds,325
2015-12-06 3:00:00,0,13.0°C,13.0°C,72.00%,35.0 km/h,8.78 μg/m3,405.27ppm,Cloudy,225
2015-12-06 4:00:00,0,13.0°C,13.0°C,79.50%,30.5 km/h,6.52 μg/m3,401.38ppm,Rain,113
2015-12-06 5:00:00,0,13.0°C,13.0°C,77.00%,25.0 km/h,9.39 μg/m3,404.18ppm,Broken clouds,98
2015-12-06 6:00:00,0,13.0°C,,79.50%,25.0 km/h,9.42 μg/m3,402.88ppm,Rain,100
2015-12-06 7:00:00,0,13.0°C,13.0°C,85.00%,28.0 km/h,8.39 μg/m3,407.47ppm,Rain,109
2015-12-06 8:00:00,0,13.5°C,13.5°C,85.00%,,9.06 μg/m3,403.37ppm,Broken clouds,224
2015-12-06 9:00:00,0,14.0°C,,77.00%,26.0 km/h,7.46 μg/m3,403.59ppm,Broken clouds,537
2015-12-06 10:00:00,0,14.5°C,14.5°C,70.00%,32.0 km/h,7.65 μg/m3,404.93ppm,Broken clouds,827
2015-12-06 11:00:00,0,,15.0°C,68.00%,28.0 km/h,7.56 μg/m3,405.82ppm,Broken clouds,1234
2015-12-06 12:00:00,0,14.0°C,14.0°C,74.50%,29.0 km/h,9.87 μg/m3,403.49ppm,Broken clouds,1467
2015-12-06 13:00:00,0,13.5°C,13.5°C,82.00%,21.0 km/h,8.22 μg/m3,405.15ppm,Broken clouds,1446
2015-12-06 14:00:00,0,14.0°C,14.0°C,77.00%,23.0 km/h,6.77 μg/m3,405.37ppm,Broken clouds,1449
2015-12-06 15:00:00,0,,14.0°C,79.50%,22.0 km/h,7.83 μg/m3,401.59ppm,Broken clouds,1491
2015-12-06 16:00:00,0,14.0°C,14.0°C,82.00%,17.0 km/h,7.21 μg/m3,405.76ppm,Rain,1156
2015-12-06 17:00:00,0,13.0°C,,88.00%,15.0 km/h,8.19 μg/m3,403.84ppm,Scattered clouds,980
2015-12-06 18:00:00,0,13.0°C,,94.00%,14.0 km/h,7.67 μg/m3,402.57ppm,Rain,930
2015-12-06 19:00:00,0,13.0°C,13.0°C,94.00%,13.0 km/h,5.89 μg/m3,408.39ppm,Rain,518
2015-12-06 20:00:00,0,13.0°C,13.0°C,94.00%,9.0 km/h,6.31 μg/m3,403.13ppm,Rain,456
2015-12-06 21:00:00,0,13.0°C,13.0°C,88.00%,13.0 km/h,7.36 μg/m3,406.33ppm,Cloudy,372
2015-12-06 22:00:00,0,14.0°C,14.0°C,85.00%,12.0 km/h,9.99 μg/m3,405.77ppm,Broken clouds,330
2015-12-06 23:00:00,0,13.0°C,13.0°C,94.00%,15.0 km/h,5.18 μg/m3,401.58ppm,Rain,227
2015-12-07 0:00:00,0,13.5°C,13.5°C,85.00%,14.0 km/h,8.52 μg/m3,403.37ppm,Rain,132
2015-12-07 1:00:00,0,13.5°C,13.5°C,85.00%,12.0 km/h,10.34 μg/m3,402.68ppm,Rain,78
2015-12-07 2:00:00,0,14.0°C,14.0°C,82.00%,12.0 km/h,9.45 μg/m3,406.62ppm,Broken clouds,54
2015-12-07 3:00:00,0,14.0°C,14.0°C,82.00%,11.0 km/h,7.96 μg/m3,406.39ppm,Rain,27
2015-12-07 4:00:00,0,14.0°C,14.0°C,82.00%,15.0 km/h,7.66 μg/m3,407.97ppm,Cloudy,29
2015-12-07 5:00:00,0,14.0°C,14.0°C,82.00%,16.0 km/h,8.96 μg/m3,402.91ppm,Broken clouds,119
2015-12-07 6:00:00,0,13.0°C,13.0°C,88.00%,13.0 km/h,10.26 μg/m3,409.49ppm,Broken clouds,548
2015-12-07 7:00:00,0,14.0°C,14.0°C,82.00%,12.0 km/h,9.08 μg/m3,406.68ppm,Broken clouds,1900
2015-12-07 8:00:00,0,14.0°C,14.0°C,82.00%,17.0 km/h,8.28 μg/m3,408.11ppm,Broken clouds,3999
2015-12-07 9:00:00,0,14.0°C,14.0°C,82.00%,16.0 km/h,9.82 μg/m3,405.14ppm,Broken clouds,1659
2015-12-07 10:00:00,0,13.5°C,13.5°C,,9.0 km/h,8.27 μg/m3,404.3ppm,Broken clouds,859
2015-12-07 11:00:00,0,14.0°C,14.0°C,82.00%,13.0 km/h,8.14 μg/m3,403.18ppm,Broken clouds,750
2015-12-07 12:00:00,0,13.5°C,13.5°C,85.00%,13.0 km/h,8.95 μg/m3,407.36ppm,Broken clouds,956
2015-12-07 13:00:00,0,14.0°C,14.0°C,82.00%,12.0 km/h,7.04 μg/m3,404.61ppm,Broken clouds,964
2015-12-07 14:00:00,0,13.5°C,13.5°C,82.00%,12.0 km/h,12.49 μg/m3,404.64ppm,Scattered clouds,922
2015-12-07 15:00:00,0,13.0°C,13.0°C,,10.0 km/h,8.24 μg/m3,407.1ppm,Clear,1096
2015-12-07 16:00:00,0,12.5°C,12.5°C,85.00%,13.0 km/h,7.72 μg/m3,406.5ppm,Scattered clouds,1455
2015-12-07 17:00:00,0,12.0°C,12.0°C,85.00%,12.0 km/h,9.27 μg/m3,404.48ppm,Clear,2886
2015-12-07 18:00:00,0,12.0°C,12.0°C,82.00%,16.0 km/h,9.64 μg/m3,405.17ppm,Clear,2952
2015-12-07 19:00:00,0,12.0°C,12.0°C,82.00%,,6.97 μg/m3,405.46ppm,Clear,1710
2015-12-07 20:00:00,0,12.5°C,12.5°C,77.00%,18.0 km/h,5.44 μg/m3,405.03ppm,Clear,1066
2015-12-07 21:00:00,0,13.0°C,13.0°C,72.00%,19.5 km/h,7.5 μg/m3,407.24ppm,Clear,711
2015-12-07 22:00:00,0,13.0°C,13.0°C,72.00%,22.0 km/h,8.43 μg/m3,405.94ppm,Clear,536
2015-12-07 23:00:00,0,13.0°C,13.0°C,72.00%,20.5 km/h,6.89 μg/m3,404.28ppm,Clear,326
2015-12-08 0:00:00,0,13.0°C,13.0°C,72.00%,,7.96 μg/m3,407.47ppm,Clear,187
2015-12-08 1:00:00,0,13.0°C,13.0°C,74.50%,21.0 km/h,7.81 μg/m3,403.69ppm,Clear,91
2015-12-08 2:00:00,0,13.0°C,13.0°C,74.50%,17.0 km/h,5.55 μg/m3,404.72ppm,Clear,44
2015-12-08 3:00:00,0,13.0°C,13.0°C,77.00%,22.0 km/h,8.99 μg/m3,404.46ppm,Rain,44
2015-12-08 4:00:00,0,12.5°C,12.5°C,85.00%,17.0 km/h,9.35 μg/m3,404.14ppm,Rain,24
2015-12-08 5:00:00,0,,13.0°C,88.00%,16.0 km/h,8.3 μg/m3,404.3ppm,Rain,96
2015-12-08 6:00:00,0,13.0°C,13.0°C,88.00%,14.0 km/h,8.58 μg/m3,406.83ppm,Rain,474
2015-12-08 7:00:00,0,13.5°C,13.5°C,85.00%,18.5 km/h,7.02 μg/m3,405.06ppm,Rain,1676
2015-12-08 8:00:00,0,14.0°C,14.0°C,82.00%,18.5 km/h,7.82 μg/m3,408.34ppm,Rain,3002
2015-12-08 9:00:00,0,14.0°C,14.0°C,82.00%,19.5 km/h,9.01 μg/m3,403.92ppm,Broken clouds,1400
